Grocery,NOFRILLS
Grocery,NO FRILLS
Grocery,BULK BARN
Grocery,SUPER C
Grocery,MAXI
Grocery,TAVORA FOODS
Grocery,FOOD BASICS
Grocery,STARSKY FINE FOODS
Grocery,HEALTHY PLANET
Grocery,FRESHCO
Grocery,IKEA
Grocery,BLOSSOMPURE
Grocery,HEALTH FOODS,
Grocery,METRO
Grocery,LOBLAWS
Grocery,SOBEYS
Grocery,NATIONS FRESH FOODS
Grocery,FOODLAND
Grocery,CHOCOLATE
Grocery,REAL CANADIAN WHOLESAL
Grocery,COSTCO WHOLESALE
Grocery,THE BEER STORE
Grocery,MARKET
Grocery,FOOD
Grocery,NATURE'S COUNTER
Restaurant,SWISS CHALET
Restaurant,MOULIN DE PROVENCE
Restaurant,ORIENTAL FOOD CENTRE
Restaurant,HARVEYS
Restaurant,TIM HORTONS
Restaurant,HALIBUT HOUSE
Restaurant,MANDARIN
Restaurant,SKIPTHEDISHES.COM
Restaurant,UBER EATS
Restaurant,CAF NOISETTE
Restaurant,PIZZA
Restaurant,AROMA ESPRESSO
Restaurant,SUSHI
Restaurant,SHANGHAI 360
Restaurant,SWISS T1
Restaurant,THE MERCHANT WAREHOUSE
Restaurant,JACK ASTOR'S
Restaurant,RESTAURAN
Restaurant,SEARA BAKERY
Restaurant,LA SEM PATISSERIE
Restaurant,PASTRIES
Restaurant,SWEET POTATO
Department Stores,WMT SUPRCTR
Department Stores,SALARMY
Department Stores,CDN TIRE
Department Stores,NEW BALANCE
Department Stores,AMZN Mktp
Department Stores,AMAZON.CA
Department Stores,WAL-MART
Department Stores,VALUE VILLAGE
Department Stores,HOME HARDWA
Department Stores,HOME DEPOT
Department Stores,MICHAEL ROSSY
Department Stores,STAPLES
Department Stores,AMRE SUPPLY
Department Stores,LCBO/RAO
Department Stores,DOLLAR
Department Stores,LOWES
Department Stores,WOW WHAT A DEAL
Department Stores,TOMMY HILFIGER
Department Stores,NURSERIES
Department Stores,RONA
Department Stores,GARDEN CENT
Department Stores,HOLLISTER
Department Stores,THE HERITAGE SHOP
Department Stores,ROOTS
Department Stores,HOMESENSE
Department Stores,BEST BUY.CA
Department Stores,JEWELLERY
Department Stores,WINNERS
Department Stores,SHOPPERS
Department Stores,LECHELLE DU MONDE
Department Stores,CANADA COMPUTERS
Department Stores,FLASH SERVICES
Department Stores,PARTY MART
Netflix,NETFLIX.COM
Health Care,CHIROPRACTIC
Health Care,OTTAWA HOSPITAL
Health Care,FIRST CHOICE
Health Care,OPTOMETRIST
Health Care,ALDERWOOD
Health Care,DENTAL
Gas,PETROCAN
Gas,ONROUTE
Gas,ESSO
Gas,CIRCLE K
Gas,HUSKY COLLEGE
Gas,GAS
ADT,ADT
Transportation,TTC
Transportation,GREYHOUND
Transportation,VIA RAIL
Transportation,PRESTO
Transportation,UBER
Fido,FIDO
Freedom Mobile,FREEDOM MOBILE
Plate Stickers,MTO
Plate Stickers,Road Test
Business,THE UPS STORE
Business,CITIZENSHIP
Business,CITIZEN&IMM
Business,WORDPRESS
Business,EC ENGLISH
Business,GUARD.ME
Business,VISTAPRINT.CA
Business,CHEGG
Business,Avast
Parking,PARKING
Hotels,EXPEDIA
Hotels,COMFORT INN
Hotels,HOTELS
Hotels,DEER LAKE EXPRESS
Hotels,TREASURE BAY RESORT
Skype/Phone Cards,SKYPE.COM
Skype/Phone Cards,Skype
ACN Phone,ACN*DIGITAL PHONE
Toyota Maintenance,TOYOTA
Bell,BELL CANADA
TekSavvy,TSI INTERNET
Education,TDSB
Home Expenses,RAINBOW SYSTEMS
Tourism,OBRIENS CRAFTS BAY
Tourism,DOWNHOMER
Tourism,BUDGET
Tourism,AIR CAN
Tourism,AIR MILES